source_file,house_brand,house_partno,house_legacy_partno,house_style,house_material_codes,competitor_brand,competitor_partno,competitor_style,product_line,shaft_in,bore_in,width_in,lip_material,case_material,spring_material,material_desc,fit_type,fit_value,fit_notes,description
Dichtomatik_Interchange_1-2022.xlsb,Dichtomatik,75101220,N90001,O-RING,NBR,BOYD,2-001 N140-90,O-RING,O-RING,0.029,0.109,0.04,NBR 90,,,NBR 90,direct,0.0,direct,"AS568-001 1/32"" ID x 3/32"" OD x 1/32"" NBR (BUNA) 90 BLACK O-RING"
Dichtomatik_Interchange_1-2022.xlsb,Dichtomatik,75101609,S70001,O-RING,SILICONE,BOYD,2-001 S500-70,O-RING,O-RING,0.029,0.109,0.04,SILICONE,,,SILICONE,direct,0.0,direct,"AS568-001 1/32"" ID x 3/32"" OD x 1/32"" SILICONE 70 ORANGE O-RING"
Dichtomatik_Interchange_1-2022.xlsb,Dichtomatik,75101996,V75001,O-RING,FKM,BOYD,2-001 V700-75,O-RING,O-RING,0.029,0.109,0.04,FKM 75 BLACK,,,FKM 75 BLACK,direct,0.0,direct,"AS568-001 1/32"" ID x 3/32"" OD x 1/32"" FKM (Viton®) 75 BLACK O-RING"
Dichtomatik_Interchange_1-2022.xlsb,Dichtomatik,75102766,BV75001,O-RING,FKM,BOYD,2-001 V708-75,O-RING,O-RING,0.029,0.109,0.04,FKM 75 BR,,,FKM 75 BR,direct,0.0,direct,"AS568-001 1/32"" ID x 3/32"" OD x 1/32"" FKM (Viton®) 75 BROWN O-RING"
Dichtomatik_Interchange_1-2022.xlsb,Dichtomatik,75100001,N70002,O-RING,NBR,BOYD,2-002 N100-70,O-RING,O-RING,0.042,0.142,0.05,NBR 70,,,NBR 70,direct,0.0,direct,"AS568-002 3/64"" ID x 9/64"" OD x 3/64"" NBR (BUNA) 70 BLACK O-RING"
Dichtomatik_Interchange_1-2022.xlsb,Dichtomatik,75101221,N90002,O-RING,NBR,BOYD,2-002 N140-90,O-RING,O-RING,0.042,0.142,0.05,NBR 90,,,NBR 90,direct,0.0,direct,"AS568-002 3/64"" ID x 9/64"" OD x 3/64"" NBR (BUNA) 90 BLACK O-RING"
Dichtomatik_Interchange_1-2022.xlsb,Dichtomatik,75101610,S70002,O-RING,SILICONE,BOYD,2-002 S500-70,O-RING,O-RING,0.042,0.142,0.05,SILICONE,,,SILICONE,direct,0.0,direct,"AS568-002 3/64"" ID x 9/64"" OD x 3/64"" SILICONE 70 ORANGE O-RING"
Dichtomatik_Interchange_1-2022.xlsb,Dichtomatik,75101997,V75002,O-RING,FKM,BOYD,2-002 V700-75,O-RING,O-RING,0.042,0.142,0.05,FKM 75 BLACK,,,FKM 75 BLACK,direct,0.0,direct,"AS568-002 3/64"" ID x 9/64"" OD x 3/64"" FKM (Viton®) 75 BLACK O-RING"
Dichtomatik_Interchange_1-2022.xlsb,Dichtomatik,75102767,BV75002,O-RING,FKM,BOYD,2-002 V708-75,O-RING,O-RING,0.042,0.142,0.05,FKM 75 BR,,,FKM 75 BR,direct,0.0,direct,"AS568-002 3/64"" ID x 9/64"" OD x 3/64"" FKM (Viton®) 75 BROWN O-RING"
Dichtomatik_Interchange_1-2022.xlsb,Dichtomatik,75100002,N70003,O-RING,NBR,BOYD,2-003 N100-70,O-RING,O-RING,0.056,0.176,0.06,NBR 70,,,NBR 70,direct,0.0,direct,"AS568-003 1/16"" ID x 3/16"" OD x 1/16"" NBR (BUNA) 70 BLACK O-RING"
